split,idx
train,7396
train,2106
train,13686
train,9382
train,8359
train,667
train,3698
train,11787
train,12972
train,3367
train,835
train,3050
train,3651
train,8806
train,2621
train,12316
train,8576
train,2996
train,7984
train,9628
train,4349
train,1029
train,8100
train,9195
train,11374
train,2849
train,6261
train,5068
train,6508
train,8116
train,10444
train,9763
train,7149
train,11639
train,3119
train,11925
train,7099
train,6202
train,5690
train,6224
train,9804
train,5206
train,8082
train,6547
train,10542
train,3346
train,787
train,10271
train,13436
train,3320
train,10555
train,3012
train,12349
train,4637
train,10574
train,9248
train,6535
train,7405
train,10923
train,4383
train,10558
train,8601
train,10085
train,12462
train,637
train,5102
train,9429
train,6914
train,12304
train,9530
train,9379
train,12482
train,3188
train,2549
train,1669
train,2294
train,13438
train,1353
train,13598
train,6724
train,5399
train,2390
train,8597
train,2127
train,3485
train,8859
train,4469
train,5921
train,13324
train,9334
train,13667
train,10916
train,746
train,6066
train,3670
train,1882
train,10920
train,3599
train,9425
train,4571
train,6298
train,10546
train,7877
train,10950
train,1696
train,7327
train,3653
train,2537
train,957
train,13521
train,7387
train,5344
train,35
train,2237
train,6945
train,4532
train,10759
train,1676
train,6365
train,1088
train,2673
train,7080
train,3560
train,7839
train,11789
train,4474
train,670
train,7359
train,32
train,4189
train,1751
train,3970
train,8922
train,9242
train,2414
train,13180
train,5396
train,5039
train,2268
train,11169
train,10445
train,8934
train,966
train,6361
train,5905
train,8846
train,9280
train,6903
train,66
train,2807
train,2575
train,13032
train,13102
train,4034
train,767
train,9729
train,11751
train,8104
train,4624
train,7262
train,10314
train,4080
train,7085
train,2586
train,5219
train,3801
train,6265
train,3980
train,11207
train,2060
train,13381
train,10589
train,5609
train,9850
train,5684
train,1429
train,7950
train,6551
train,10984
train,5050
train,9270
train,1570
train,10675
train,2529
train,11793
train,208
train,12037
train,8603
train,8627
train,7577
train,8997
train,3330
train,6721
train,7663
train,3885
train,6123
train,8849
train,450
train,12776
train,2460
train,9891
train,425
train,1046
